,latitude,longitude
1863,34.516895,69.147011
7627,34.516895,69.147011
9156,33.542622,68.415329
9218,34.346722,62.197315
33931,34.516895,69.147011
34065,35.921051,64.774544
34239,34.516895,69.147011
34446,34.516895,69.147011
35001,34.516895,69.147011
35011,34.516895,69.147011
35025,34.417122,70.449593
35313,34.516895,69.147011
35618,34.516895,69.147011
35833,34.171831,70.621679
36391,34.516895,69.147011
36854,34.346722,62.197315
37335,34.346722,62.197315
38062,34.516895,69.147011
38556,34.516895,69.147011
38873,34.516895,69.147011
38940,34.516895,69.147011
38978,34.516895,69.147011
39010,34.516895,69.147011
39141,31.571584,66.515289
40857,34.516895,69.147011
41359,34.516895,69.147011
44407,34.516895,69.147011
45124,36.733333,68.866667
45196,31.631083,65.742226
46183,34.516895,69.147011
46231,34.516895,69.147011
46237,34.516895,69.147011
46685,34.346722,62.197315
47141,33.706199,69.383108
47450,34.516895,69.147011
47451,34.516895,69.147011
47465,34.417122,70.449593
47476,32.435556,64.426111
47488,34.516895,69.147011
47930,34.516895,69.147011
49250,34.417122,70.449593
49346,34.417122,70.449593
49491,33.706199,69.383108
49503,34.516895,69.147011
49504,34.516895,69.147011
49505,34.516895,69.147011
49506,34.516895,69.147011
49570,34.516895,69.147011
49580,34.516895,69.147011
49591,34.516895,69.147011
49606,34.417122,70.449593
49607,34.516895,69.147011
49671,34.516895,69.147011
49807,34.417122,70.449593
49880,34.171831,70.621679
49886,36.734772,70.811995
50079,34.516895,69.147011
50283,31.60063,64.369652
50341,34.516895,69.147011
50932,34.089812,64.433188
51115,34.361059,68.840693
51238,34.516895,69.147011
51246,34.516895,69.147011
51247,34.516895,69.147011
51655,34.516895,69.147011
51700,34.516895,69.147011
52147,34.516895,69.147011
52323,34.516895,69.147011
52356,34.516895,69.147011
52385,34.516895,69.147011
52397,34.516895,69.147011
53050,34.516895,69.147011
53082,33.598633,69.228996
53761,34.516895,69.147011
54044,34.171831,70.621679
54059,34.516895,69.147011
54110,34.516895,69.147011
54350,34.516895,69.147011
54367,33.598633,69.228996
54368,33.335258,69.928467
54369,34.417122,70.449593
54414,34.516895,69.147011
54434,34.516895,69.147011
54435,34.516895,69.147011
54436,34.516895,69.147011
54437,34.516895,69.147011
54438,34.516895,69.147011
54439,34.516895,69.147011
55010,34.516895,69.147011
55415,34.516895,69.147011
56154,36.733333,68.866667
56355,34.516895,69.147011
56853,34.516895,69.147011
56854,34.516895,69.147011
56938,34.408889,69.155556
57292,35.849722,66.436944
57665,31.631083,65.742226
58406,34.516895,69.147011
60014,31.631083,65.742226
60462,31.631083,65.742226
60786,34.516895,69.147011
61149,31.320556,65.961111
62718,36.70993,67.1157
62827,34.417122,70.449593
